"订单编号","支付单号","支付详情","买家应付货款","买家应付邮费","买家支付积分","总金额","返点积分","买家实际支付金额","买家实际支付积分","订单状态","买家留言","运送方式","订单创建时间","订单付款时间 ","宝贝标题 ","宝贝种类 ","物流单号 ","物流公司","订单备注","宝贝总数量","店铺Id","店铺名称","订单关闭原因","卖家服务费","买家服务费","发票抬头","是否手机订单","分阶段订单信息","特权订金订单id","是否上传合同照片","是否上传小票","是否代付","定金排名","修改后的sku","异常信息","天猫卡券抵扣","集分宝抵扣","是否是O2O交易","新零售交易类型","新零售导购门店名称","新零售导购门店id","新零售发货门店名称","新零售发货门店id","退款金额","预约门店","确认收货时间","打款商家金额","含应开票给个人的个人红包","是否信用购","体验期结束时间","前N有礼","配送类型","直播返现状态","返现金额","延迟发货赔付金额","新零售成交门店昵称","新零售成交门店id","新零售成交经销商id ","预售订单","发货时间","商家备忘","主订单编号"
="3241327141598388010",="2023030622001103801458041086","支付方式：支付宝，支付单号：2023030622001103801458041086，金额：373.00；","361.00","12.00","0","373.00","0","373.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 13:20:55","2023-03-06 13:20:59","NIKE SB ZOOM BLAZER MID 男女缓震耐磨潮流运动休闲鞋864349-401，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663642276453","中通快递","'p 335  南忆丶","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 14:24:31",="p 335  南忆丶",=""
="3241461422879170526",="2023030622001153551429428339","支付方式：支付宝，支付单号：2023030622001153551429428339，金额：713.00；","701.00","12.00","0","713.00","0","713.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 13:20:50","2023-03-06 13:20:55","Nike Dunk Low 耐磨 轻便 低帮  复古 潮流 运动休闲鞋DR5475-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'退货","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="退货",=""
="3241323145669186061",="2023030622001111271452474238","支付方式：支付宝，支付单号：2023030622001111271452474238，金额：503.00；","491.00","12.00","0","503.00","0","503.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 13:19:04","2023-03-06 13:19:13","Nike 耐克 Air Force 1 Low 低帮运动休闲板鞋 白灰色 FB1853-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT7089870098540","圆通速递","'p 450  粉马","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 16:15:04",="p 450  粉马",=""
="3241315585762614947",="2023030622001161351402371804","支付方式：支付宝，支付单号：2023030622001161351402371804，金额：592.00；","580.00","12.00","0","592.00","0","592.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 13:15:26","2023-03-06 14:07:59","Nike Dunk Low 耐磨 轻便 低帮  复古 潮流 运动休闲鞋DR5475-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1374617000973","顺丰速运","'p 544顺  Chaos.","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 17:49:33",="p 544顺  Chaos.",=""
="3241434746790606462",="2023030622001185121405048140","支付方式：支付宝，支付单号：2023030622001185121405048140，金额：692.00；","680.00","12.00","0","692.00","0","692.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 13:09:02","2023-03-06 13:19:38","Air Jordan 1 Mid AJ1防滑减震中帮复古潮流休闲运动鞋DC1420-700，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 650  皆非","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 650  皆非",=""
="3241426970560838620",="2023030622001120241404406862","支付方式：支付宝，支付单号：2023030622001120241404406862，金额：0.00；","720.00","12.00","0","732.00","0","0.00","0","交易关闭","null","快递","2023-03-06 13:04:36","2023-03-06 13:04:41","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'p 675顺   。","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","732.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 675顺   。",=""
="3241355690974765356",="2023030622001109561447026532","支付方式：支付宝，支付单号：2023030622001109561447026532，金额：782.00；","770.00","12.00","0","782.00","0","782.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 12:33:30","2023-03-06 14:15:22","Nike耐克 Air Zoom G.T. Jump 实战 运动 潮流 篮球鞋 DC9039-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:773210137321367","申通快递","'p 725  张有志（刘尔曦版本）","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:06:16",="p 725  张有志（刘尔曦版本）",=""
="3241615143176424153",="2023030622001162601426463179","支付方式：支付宝，支付单号：2023030622001162601426463179，金额：832.00；","820.00","12.00","0","832.00","0","832.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 12:26:20","2023-03-06 12:26:26","Nike Air Zoom G.T. Cut 2 减震防滑 耐磨实战篮球鞋  DJ6013-001","1","","null","'p 773顺  你个喵","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="p 773顺  你个喵",=""
="3240373284031746701",="2023030622001156981403488272","支付方式：支付宝，支付单号：2023030622001156981403488272，金额：625.00；","613.00","12.00","0","625.00","0","625.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 11:42:52","2023-03-06 11:43:01","欣欣体育 Nike Air Force 1 Low  Shadow 纯白低帮板鞋CI0919-100，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663629048487","中通快递","'退货 611","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:01:38",="退货 611",=""
="3241233614055205715",="2023030622001136851428850070","支付方式：支付宝，支付单号：2023030622001136851428850070，金额：632.00；","620.00","12.00","0","632.00","0","632.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 11:42:20","2023-03-06 11:48:02","Nike Air Force1 AF1  白灰棕 低帮 复古潮流休闲板鞋 FB1857-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:776009296253129","申通快递","'C 582 zy林","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 17:05:08",="C 582 zy林",=""
="3241494363625826362",="2023030622001146701407045695","支付方式：支付宝，支付单号：2023030622001146701407045695，金额：732.00；","720.00","12.00","0","732.00","0","732.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 11:37:51","2023-03-06 11:38:02","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:SF1643677800385","顺丰速运","'p 685顺  陈陈陈啊","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 13:20:36",="p 685顺  陈陈陈啊",=""
="1838386345866359588",="2023030622001180051438471315","支付方式：支付宝，支付单号：2023030622001180051438471315，金额：493.00；","481.00","12.00","0","493.00","0","493.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 11:32:37","2023-03-06 11:32:46","Nike 耐克 Air Force 1 Low 低帮运动休闲板鞋 白灰色 FB1853-111，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:YT2276864189690","圆通速递","'阳 478 X【木木 03-06 20:40】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 18:18:09",="阳 478 X【木木 03-06 20:40】",=""
="3240337428193779206",="2023030622001136291452712198","支付方式：支付宝，支付单号：2023030622001136291452712198，金额：334.00；","322.00","12.00","0","334.00","0","334.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 11:31:24","2023-03-06 11:31:35","LiNing李宁 烈骏6 反光支撑 稳定运动休闲跑步鞋 白色 ARZS001-13","1","No:78663725711035","中通快递","'C 302 亦","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 16:30:52",="C 302 亦",=""
="3241061569495873847",="2023030622001159421415140974","支付方式：支付宝，支付单号：2023030622001159421415140974，金额：912.00；","900.00","12.00","0","912.00","0","912.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 11:29:52","2023-03-06 11:30:04","Nike耐克Dunk Low 轻便耐磨 低帮运动休闲板鞋 白灰色 DD1503-117","1","No:SF1374607496571","顺丰速运","'X. 850 oum【木木 03-06 21:59】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 18:08:53",="X. 850 oum【木木 03-06 21:59】",=""
="3241057177305114960",="2023030622001144271455964388","支付方式：支付宝，支付单号：2023030622001144271455964388，金额：431.00；","419.00","12.00","0","431.00","0","431.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 11:28:27","2023-03-06 11:28:36","Nike耐克 Dunk High 经典高帮 防滑透气休闲鞋 浅棕白 DD3362-200，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663628356867","中通快递","'退货 455","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:01:29",="退货 455",=""
="1838310349374936589",="2023030622001125411420242116","支付方式：支付宝，支付单号：2023030622001125411420242116，金额：403.00；","391.00","12.00","0","403.00","0","403.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 10:42:53","2023-03-06 10:43:00","Nike 耐克 Dunk Low 耐磨潮流 复古运动休闲板鞋 白红 DD1391-602，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3240881029470354623",="2023030622001190151443901659","支付方式：支付宝，支付单号：2023030622001190151443901659，金额：473.00；","461.00","12.00","0","473.00","0","473.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 10:29:59","2023-03-06 10:30:09","Nike Air Force 1 Low AF1白绿 潮流休闲舒适经典板鞋 DX1156-100","1","No:YT2298367066855","圆通速递","'C 430 Hanabi-Sensational","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 15:19:26",="C 430 Hanabi-Sensational",=""
="3241009910065163403",="2023030622001133661454621937","支付方式：支付宝，支付单号：2023030622001133661454621937，金额：25.00；","25.00","0.00","0","25.00","0","25.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 10:25:39","2023-03-06 10:25:42","邮费链接","1","","null","'退货","25","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="退货",=""
="3240994790522163403",="2023030622001133661453937899","支付方式：支付宝，支付单号：2023030622001133661453937899，金额：851.00；","839.00","12.00","0","851.00","0","851.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 10:19:48","2023-03-06 10:19:57","Nike耐克 Dunk Low  复古耐磨 低帮轻便运动休闲鞋 灰 DQ5015-063，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'现货","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="现货",=""
="3240859501113267601",="2023030622001124181406914584","支付方式：支付宝，支付单号：2023030622001124181406914584，金额：523.00；","511.00","12.00","0","523.00","0","523.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 10:19:11","2023-03-06 10:19:17","Air Jordan 11 Low AJ11复古运动训练实战篮球鞋 黑红 DO0613-160，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663725496361","中通快递","'C 482 亦","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 16:30:06",="C 482 亦",=""
="3240844453485144865",="2023030622001132171419797794","支付方式：支付宝，支付单号：2023030622001132171419797794，金额：583.00；","571.00","12.00","0","583.00","0","583.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 10:12:28","2023-03-06 10:12:41","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663648418854","中通快递","'p 535  shen","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 14:22:24",="p 535  shen",=""
="3240957998166956431",="2023030622001114241401279941","支付方式：支付宝，支付单号：2023030622001114241401279941，金额：0.00；","590.00","12.00","0","602.00","0","0.00","0","交易关闭","null","快递","2023-03-06 10:00:57","2023-03-06 10:01:07","Air Jordan1 MID AJ1白黄 经典复古休闲潮流中帮篮球鞋DM9126-104，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","退款","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","602.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="1838299010996249786",="2023030622001109861406038840","支付方式：支付宝，支付单号：2023030622001109861406038840，金额：582.00；","570.00","12.00","0","582.00","0","582.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 09:55:55","2023-03-06 09:58:04","Nike耐克 Dunk Low 轻便耐磨 复古运动休闲板鞋 灰白黑DQ0380-001，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:78663648445886","中通快递","'p 535  shen","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 14:22:37",="p 535  shen",=""
="3240909362186838364",="2023030622001171961405823646","支付方式：支付宝，支付单号：2023030622001171961405823646，金额：603.00；","591.00","12.00","0","603.00","0","603.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 09:32:00","2023-03-06 09:32:13","Nike Kyrie 8 欧文8代 男女耐磨 中帮缓震 实战篮球鞋 DC9134-102，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1699595915009","顺丰速运","'阳 554 刘海柱【木木 03-06 20:41】","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 14:41:58",="阳 554 刘海柱【木木 03-06 20:41】",=""
="3240766945118815757",="2023030622001109601421770261","支付方式：支付宝，支付单号：2023030622001109601421770261，金额：334.00；","322.00","12.00","0","334.00","0","334.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 09:28:48","2023-03-06 09:29:04","LiNing李宁 烈骏6 反光支撑 稳定运动休闲跑步鞋 白色 ARZS001-13","1","No:78663725939616","中通快递","'C 302 亦","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 16:30:31",="C 302 亦",=""
="3240002232271296564",="2023030622001164051427031950","支付方式：支付宝，支付单号：2023030622001164051427031950，金额：883.00；","860.00","23.00","0","883.00","0","883.00","0","买家已付款，等待卖家发货","null","快递","2023-03-06 09:05:53","2023-03-06 09:06:06","Nike Dunk High 耐磨减震舒适防滑 高帮休闲潮流运动鞋DD1398-300，买家秀征集赢奖励！！！ ~ 收货联系客服","2","","null","'null","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="null",="null",=""
="3240856334535199341",="2023030622001181241404421595","支付方式：支付宝，支付单号：2023030622001181241404421595，金额：962.00；","950.00","12.00","0","962.00","0","962.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 08:58:31","2023-03-06 08:59:05","Nike耐克 Dunk Low 复古轻便 低帮休闲运动板鞋 玫瑰粉DD1503-118","1","No:SF1614668609945","顺丰速运","'阳 910 W【木木 03-06 20:41】","1","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 09:36:38",="阳 910 W【木木 03-06 20:41】",=""
="3240715105669259818",="2023030622001102811414897622","支付方式：支付宝，支付单号：2023030622001102811414897622，金额：323.00；","311.00","12.00","0","323.00","0","323.00","0","卖家已发货，等待买家确认","null","快递","2023-03-06 08:54:30","2023-03-06 08:54:39","Nike Blazer Low 白黑 轻便舒适 复古潮流 运动休闲鞋 DA4074-101，买家秀征集赢奖励！！！ ~ 收货联系客服","2","No:SF1602691683866","顺丰速运","'p 295顺  不言笑","2","0","欣欣体育 知解验证","订单未关闭","0","0元","","手机订单","null","null","否","否","否","","null","null","null","null","null","电商订单","null","null","null","null","0.00","null","","0.00元","","否","","null","null","null","null","null","null","null","null","否",="2023-03-06 14:07:13",="p 295顺  不言笑",=""
